,qa_value,binary_string,a_clima,a_low,a_avg,a_high,water,snow,cloud_shadow,adj_cloud,cloud,cirrus,no_water,no_snow,no_cloud_shadow,no_adj_cloud,no_cloud,no_cirrus
148,148,10010100,False,False,True,False,False,True,False,True,False,False,True,False,True,False,True,True
149,149,10010101,False,False,True,False,False,True,False,True,False,True,True,False,True,False,True,False
150,150,10010110,False,False,True,False,False,True,False,True,True,False,True,False,True,False,False,True
151,151,10010111,False,False,True,False,False,True,False,True,True,True,True,False,True,False,False,False
152,152,10011000,False,False,True,False,False,True,True,False,False,False,True,False,False,True,True,True
153,153,10011001,False,False,True,False,False,True,True,False,False,True,True,False,False,True,True,False
154,154,10011010,False,False,True,False,False,True,True,False,True,False,True,False,False,True,False,True
155,155,10011011,False,False,True,False,False,True,True,False,True,True,True,False,False,True,False,False
156,156,10011100,False,False,True,False,False,True,True,True,False,False,True,False,False,False,True,True
157,157,10011101,False,False,True,False,False,True,True,True,False,True,True,False,False,False,True,False
158,158,10011110,False,False,True,False,False,True,True,True,True,False,True,False,False,False,False,True
159,159,10011111,False,False,True,False,False,True,True,True,True,True,True,False,False,False,False,False
160,160,10100000,False,False,True,False,True,False,False,False,False,False,False,True,True,True,True,True
161,161,10100001,False,False,True,False,True,False,False,False,False,True,False,True,True,True,True,False
162,162,10100010,False,False,True,False,True,False,False,False,True,False,False,True,True,True,False,True
163,163,10100011,False,False,True,False,True,False,False,False,True,True,False,True,True,True,False,False
164,164,10100100,False,False,True,False,True,False,False,True,False,False,False,True,True,False,True,True
165,165,10100101,False,False,True,False,True,False,False,True,False,True,False,True,True,False,True,False
166,166,10100110,False,False,True,False,True,False,False,True,True,False,False,True,True,False,False,True
167,167,10100111,False,False,True,False,True,False,False,True,True,True,False,True,True,False,False,False
168,168,10101000,False,False,True,False,True,False,True,False,False,False,False,True,False,True,True,True
169,169,10101001,False,False,True,False,True,False,True,False,False,True,False,True,False,True,True,False
170,170,10101010,False,False,True,False,True,False,True,False,True,False,False,True,False,True,False,True
171,171,10101011,False,False,True,False,True,False,True,False,True,True,False,True,False,True,False,False
172,172,10101100,False,False,True,False,True,False,True,True,False,False,False,True,False,False,True,True
173,173,10101101,False,False,True,False,True,False,True,True,False,True,False,True,False,False,True,False
174,174,10101110,False,False,True,False,True,False,True,True,True,False,False,True,False,False,False,True
175,175,10101111,False,False,True,False,True,False,True,True,True,True,False,True,False,False,False,False
176,176,10110000,False,False,True,False,True,True,False,False,False,False,False,False,True,True,True,True
177,177,10110001,False,False,True,False,True,True,False,False,False,True,False,False,True,True,True,False
178,178,10110010,False,False,True,False,True,True,False,False,True,False,False,False,True,True,False,True
179,179,10110011,False,False,True,False,True,True,False,False,True,True,False,False,True,True,False,False
180,180,10110100,False,False,True,False,True,True,False,True,False,False,False,False,True,False,True,True
181,181,10110101,False,False,True,False,True,True,False,True,False,True,False,False,True,False,True,False
182,182,10110110,False,False,True,False,True,True,False,True,True,False,False,False,True,False,False,True
183,183,10110111,False,False,True,False,True,True,False,True,True,True,False,False,True,False,False,False
184,184,10111000,False,False,True,False,True,True,True,False,False,False,False,False,False,True,True,True
185,185,10111001,False,False,True,False,True,True,True,False,False,True,False,False,False,True,True,False
186,186,10111010,False,False,True,False,True,True,True,False,True,False,False,False,False,True,False,True
187,187,10111011,False,False,True,False,True,True,True,False,True,True,False,False,False,True,False,False
188,188,10111100,False,False,True,False,True,True,True,True,False,False,False,False,False,False,True,True
189,189,10111101,False,False,True,False,True,True,True,True,False,True,False,False,False,False,True,False
190,190,10111110,False,False,True,False,True,True,True,True,True,False,False,False,False,False,False,True
191,191,10111111,False,False,True,False,True,True,True,True,True,True,False,False,False,False,False,False
192,192,11000000,False,False,False,True,False,False,False,False,False,False,True,True,True,True,True,True
193,193,11000001,False,False,False,True,False,False,False,False,False,True,True,True,True,True,True,False
194,194,11000010,False,False,False,True,False,False,False,False,True,False,True,True,True,True,False,True
195,195,11000011,False,False,False,True,False,False,False,False,True,True,True,True,True,True,False,False
196,196,11000100,False,False,False,True,False,False,False,True,False,False,True,True,True,False,True,True
197,197,11000101,False,False,False,True,False,False,False,True,False,True,True,True,True,False,True,False
198,198,11000110,False,False,False,True,False,False,False,True,True,False,True,True,True,False,False,True
199,199,11000111,False,False,False,True,False,False,False,True,True,True,True,True,True,False,False,False
200,200,11001000,False,False,False,True,False,False,True,False,False,False,True,True,False,True,True,True
201,201,11001001,False,False,False,True,False,False,True,False,False,True,True,True,False,True,True,False
202,202,11001010,False,False,False,True,False,False,True,False,True,False,True,True,False,True,False,True
203,203,11001011,False,False,False,True,False,False,True,False,True,True,True,True,False,True,False,False
204,204,11001100,False,False,False,True,False,False,True,True,False,False,True,True,False,False,True,True
205,205,11001101,False,False,False,True,False,False,True,True,False,True,True,True,False,False,True,False
206,206,11001110,False,False,False,True,False,False,True,True,True,False,True,True,False,False,False,True
207,207,11001111,False,False,False,True,False,False,True,True,True,True,True,True,False,False,False,False
208,208,11010000,False,False,False,True,False,True,False,False,False,False,True,False,True,True,True,True
209,209,11010001,False,False,False,True,False,True,False,False,False,True,True,False,True,True,True,False
210,210,11010010,False,False,False,True,False,True,False,False,True,False,True,False,True,True,False,True
211,211,11010011,False,False,False,True,False,True,False,False,True,True,True,False,True,True,False,False
212,212,11010100,False,False,False,True,False,True,False,True,False,False,True,False,True,False,True,True
213,213,11010101,False,False,False,True,False,True,False,True,False,True,True,False,True,False,True,False
214,214,11010110,False,False,False,True,False,True,False,True,True,False,True,False,True,False,False,True
215,215,11010111,False,False,False,True,False,True,False,True,True,True,True,False,True,False,False,False
216,216,11011000,False,False,False,True,False,True,True,False,False,False,True,False,False,True,True,True
217,217,11011001,False,False,False,True,False,True,True,False,False,True,True,False,False,True,True,False
218,218,11011010,False,False,False,True,False,True,True,False,True,False,True,False,False,True,False,True
