tile,count,save_path,filename
T13TEK,1,/data/tiles/HLS.S30.T13TEK.2022091T174909.v2.0/,HLS.S30.T13TEK.2022091T174909.v2.0
T13TEK,2,/data/tiles/HLS.S30.T13TEK.2022101T174909.v2.0/,HLS.S30.T13TEK.2022101T174909.v2.0
T13TEK,3,/data/tiles/HLS.S30.T13TEK.2022106T174911.v2.0/,HLS.S30.T13TEK.2022106T174911.v2.0
T13TEK,4,/data/tiles/HLS.S30.T13TEK.2022111T174859.v2.0/,HLS.S30.T13TEK.2022111T174859.v2.0
T13TEK,5,/data/tiles/HLS.S30.T13TEK.2022121T174859.v2.0/,HLS.S30.T13TEK.2022121T174859.v2.0
T13TEL,0,/data/tiles/HLS.S30.T13TEL.2022081T174919.v2.0/,HLS.S30.T13TEL.2022081T174919.v2.0
T13TEL,1,/data/tiles/HLS.S30.T13TEL.2022101T174909.v2.0/,HLS.S30.T13TEL.2022101T174909.v2.0
T13TEL,2,/data/tiles/HLS.S30.T13TEL.2022126T174911.v2.0/,HLS.S30.T13TEL.2022126T174911.v2.0
T13TEL,3,/data/tiles/HLS.S30.T13TEL.2022136T174911.v2.0/,HLS.S30.T13TEL.2022136T174911.v2.0
T13TEL,4,/data/tiles/HLS.S30.T13TEL.2022146T174921.v2.0/,HLS.S30.T13TEL.2022146T174921.v2.0
T13TEL,5,/data/tiles/HLS.S30.T13TEL.2022166T174921.v2.0/,HLS.S30.T13TEL.2022166T174921.v2.0
T13TEM,0,/data/tiles/HLS.S30.T13TEM.2022101T174909.v2.0/,HLS.S30.T13TEM.2022101T174909.v2.0
T13TEM,1,/data/tiles/HLS.S30.T13TEM.2022126T174911.v2.0/,HLS.S30.T13TEM.2022126T174911.v2.0
T13TEM,2,/data/tiles/HLS.S30.T13TEM.2022171T174909.v2.0/,HLS.S30.T13TEM.2022171T174909.v2.0
T13TEM,3,/data/tiles/HLS.S30.T13TEM.2022176T174921.v2.0/,HLS.S30.T13TEM.2022176T174921.v2.0
T13TEM,4,/data/tiles/HLS.S30.T13TEM.2022211T174909.v2.0/,HLS.S30.T13TEM.2022211T174909.v2.0
T13TEM,5,/data/tiles/HLS.S30.T13TEM.2022226T174921.v2.0/,HLS.S30.T13TEM.2022226T174921.v2.0
T13TEN,0,/data/tiles/HLS.S30.T13TEN.2022081T174919.v2.0/,HLS.S30.T13TEN.2022081T174919.v2.0
T13TEN,1,/data/tiles/HLS.S30.T13TEN.2022086T174951.v2.0/,HLS.S30.T13TEN.2022086T174951.v2.0
T13TEN,2,/data/tiles/HLS.S30.T13TEN.2022171T174909.v2.0/,HLS.S30.T13TEN.2022171T174909.v2.0
T13TEN,3,/data/tiles/HLS.S30.T13TEN.2022176T174921.v2.0/,HLS.S30.T13TEN.2022176T174921.v2.0
T13TEN,4,/data/tiles/HLS.S30.T13TEN.2022181T174919.v2.0/,HLS.S30.T13TEN.2022181T174919.v2.0
T13TEN,5,/data/tiles/HLS.S30.T13TEN.2022186T174921.v2.0/,HLS.S30.T13TEN.2022186T174921.v2.0
T13TFE,0,/data/tiles/HLS.S30.T13TFE.2022083T174001.v2.0/,HLS.S30.T13TFE.2022083T174001.v2.0
T13TFE,1,/data/tiles/HLS.S30.T13TFE.2022138T173859.v2.0/,HLS.S30.T13TFE.2022138T173859.v2.0
T13TFE,2,/data/tiles/HLS.S30.T13TFE.2022208T173909.v2.0/,HLS.S30.T13TFE.2022208T173909.v2.0
T13TFE,3,/data/tiles/HLS.S30.T13TFE.2022218T173909.v2.0/,HLS.S30.T13TFE.2022218T173909.v2.0
T13TFE,4,/data/tiles/HLS.S30.T13TFE.2022233T173921.v2.0/,HLS.S30.T13TFE.2022233T173921.v2.0
T13TFE,5,/data/tiles/HLS.S30.T13TFE.2022243T173921.v2.0/,HLS.S30.T13TFE.2022243T173921.v2.0
T13TFF,0,/data/tiles/HLS.S30.T13TFF.2022083T174001.v2.0/,HLS.S30.T13TFF.2022083T174001.v2.0
T13TFF,1,/data/tiles/HLS.S30.T13TFF.2022128T173859.v2.0/,HLS.S30.T13TFF.2022128T173859.v2.0
T13TFF,2,/data/tiles/HLS.S30.T13TFF.2022153T173911.v2.0/,HLS.S30.T13TFF.2022153T173911.v2.0
T13TFF,3,/data/tiles/HLS.S30.T13TFF.2022158T173909.v2.0/,HLS.S30.T13TFF.2022158T173909.v2.0
T13TFF,4,/data/tiles/HLS.S30.T13TFF.2022173T173921.v2.0/,HLS.S30.T13TFF.2022173T173921.v2.0
T13TFF,5,/data/tiles/HLS.S30.T13TFF.2022213T173911.v2.0/,HLS.S30.T13TFF.2022213T173911.v2.0
T13TFG,0,/data/tiles/HLS.S30.T13TFG.2022063T174231.v2.0/,HLS.S30.T13TFG.2022063T174231.v2.0
T13TFG,1,/data/tiles/HLS.S30.T13TFG.2022118T173859.v2.0/,HLS.S30.T13TFG.2022118T173859.v2.0
T13TFG,2,/data/tiles/HLS.S30.T13TFG.2022123T173911.v2.0/,HLS.S30.T13TFG.2022123T173911.v2.0
T13TFG,3,/data/tiles/HLS.S30.T13TFG.2022128T173859.v2.0/,HLS.S30.T13TFG.2022128T173859.v2.0
